geonameid,name,population,latitude,longitude,feature_code,feature_class,admin2_code
752939,Prędocin,536,51.14791,21.32704,PPL,P,1425
752942,Poraj,266,50.89962,23.99191,PPL,P,0604
752963,Żyrzyn,1400,51.49918,22.0917,PPLA3,P,0614
752967,Żyrardów,41179,52.0488,20.44599,PPLA2,P,1438
752968,Żyraków,1400,50.08545,21.39622,PPLA3,P,1803
753004,Zwoleń,8048,51.35542,21.58768,PPLA2,P,1436
753020,Zwierzyniec,3297,50.614,22.97512,PPLA3,P,0620
753037,Żurowa,2321,49.82636,21.16894,PPL,P,1216
753053,Żurawiczki,1247,50.0137,22.49949,PPL,P,1814
753054,Żurawica,461,50.69602,21.68358,PPL,P,2609
753056,Żurawica,4702,49.82348,22.78925,PPLA3,P,1813
753116,Zręczyce,581,49.887,20.21793,PPL,P,1219
753130,Żołynia,5145,50.162,22.30825,PPLA3,P,1810
753140,Żółkiewka,790,50.90991,22.83465,PPLA3,P,0606
753167,Żochy,304,52.5666,22.09565,PPL,P,1429
753188,Zmiennica,1100,49.67652,21.96596,PPL,P,1802
753197,Złotoria,1000,53.17795,22.93147,PPL,P,2002
753218,Złota,184,52.20014,20.08121,PPL,P,1428
753219,Złota,670,51.77177,20.15794,PPL,P,1015
753220,Złota,719,50.66203,21.68324,PPL,P,2609
753221,Złota,1200,50.3816,20.59361,PPLA3,P,2608
753222,Złota,1368,49.88059,20.69326,PPL,P,1202
753268,Zielonki,382,50.54791,20.12687,PPL,P,2602
753269,Zielonki,133,50.35274,20.91591,PPL,P,2601
753276,Zielonka,17518,52.30376,21.16018,PPL,P,1434
753309,Zgorzała,209,52.10693,20.97917,PPL,P,1418
753319,Zgłobień,1542,50.0127,21.8549,PPL,P,1816
753348,Żerków,280,49.90055,20.67241,PPL,P,1202
753393,Żelechów,231,51.8784,21.17846,PPL,P,1406
753395,Żelechlinek,474,51.71214,20.0346,PPLA3,P,1016
753401,Żelazowa Wola,65,52.25747,20.32509,PPL,P,1428
753420,Żegocina,1500,49.81395,20.41964,PPL,P,1201
753448,Żębocin,389,50.17261,20.3223,PPL,P,1214
753453,Zdzięsławice,188,50.146,20.02808,PPL,P,1206
753457,Zdziechowice Pierwsze,748,50.79302,22.10638,PPL,P,1818
753464,Zdziar Wielki,212,52.63382,20.05082,PPL,P,1419
753531,Zbuczyn,1836,52.08974,22.43829,PPLA3,P,1426
753549,Zbójna,1100,53.24293,21.78812,PPL,P,2007
753567,Zbereże,145,51.3961,23.67425,PPL,P,0619
753581,Zawonia,138,51.30996,20.79094,PPL,P,1430
